date, 2000/01/01, 2000/01/02, 2000/01/03, 2000/01/04, 2000/01/05, 2000/01/06, 2000/01/07, 2000/01/08, 2000/01/09, 2000/01/10, 2000/01/11, 2000/01/12, 2000/01/13, 2000/01/14, 2000/01/15, 2000/01/16, 2000/01/17, 2000/01/18, 2000/01/19, 2000/01/20, 2000/01/21, 2000/01/22, 2000/01/23, 2000/01/24, 2000/01/25, 2000/01/26, 2000/01/27, 2000/01/28, 2000/01/29, 2000/01/30, 2000/01/31
char1, 정관, 편관, 정인, 편인, 겁재, 비견, 상관, 식신, 정재, 편재, 정관, 편관, 정인, 편인, 겁재, 비견, 상관, 식신, 정재, 편재, 정관, 편관, 정인, 편인, 겁재, 비견, 상관, 식신, 정재, 편재, 정관
char2, 일광, 일광, 일광, 일광, 일광, 일광, 일광, 일광, 일광, 일광, 일광, 일광, 일광, 일광, 일광, 일광, 일광, 일광, 일광, 일광, 일광, 일광, 일광, 일광, 일광, 일광, 일광, 일광, 일광, 일광, 일광
char3, 겁재, 편인, 정인, 편관, 정관, 정재, 편재, 상관, 식신, 겁재, 비견, 정인, 편인, 정관, 편관, 정재, 편재, 상관, 식신, 겁재, 비견, 정인, 편인, 정관, 편관, 정재, 편재, 상관, 식신, 겁재, 비견
char4, 식신, 겁재, 비견, 정인, 편인, 정관, 편관, 정재, 편재, 상관, 식신, 겁재, 비견, 정인, 편인, 정관, 편관, 정재, 편재, 상관, 식신, 겁재, 비견, 정인, 편인, 정관, 편관, 정재, 편재, 상관, 식신
char5, 편관, 정재, 편재, 상관, 식신, 겁재, 비견, 정인, 편인, 정관, 편관, 정재, 편재, 상관, 식신, 겁재, 비견, 정인, 편인, 정관, 편관, 정재, 편재, 상관, 식신, 겁재, 비견, 정인, 편인, 정관, 편관
char6, 겁재, 정인, 비견, 비견, 비견, 편관, 겁재, 정인, 편재, 편인, 편인, 비견, 정인, 정관, 편인, 편인, 편인, 편재, 정인, 정관, 식신, 편관, 편관, 편인, 정관, 정재, 편관, 편관, 편관, 식신, 정관
char7, 편관, 정재, 편재, 상관, 식신, 정관, 편관, 정재, 편재, 상관, 식신, 겁재, 비견, 정인, 편인, 정관, 편관, 정재, 편재, 상관, 식신, 겁재, 비견, 정인, 편인, 정관, 편관, 정재, 편재, 상관, 식신
char8, 편인, 정관, 편관, 정재, 편재, 상관, 식신, 겁재, 비견, 정인, 편인, 정관, 편관, 정재, 편재, 상관, 식신, 겁재, 비견, 정인, 편인, 정관, 편관, 정재, 편재, 상관, 식신, 겁재, 비견, 정인, 편인
img1, http://www.unsin.co.kr/images/star/a9.gif, http://www.unsin.co.kr/images/star/a1.gif, http://www.unsin.co.kr/images/star/a3.gif, http://www.unsin.co.kr/images/star/a5.gif, http://www.unsin.co.kr/images/star/a7.gif, http://www.unsin.co.kr/images/star/a9.gif, http://www.unsin.co.kr/images/star/a1.gif, http://www.unsin.co.kr/images/star/a3.gif, http://www.unsin.co.kr/images/star/a5.gif, http://www.unsin.co.kr/images/star/a7.gif, http://www.unsin.co.kr/images/star/a9.gif, http://www.unsin.co.kr/images/star/a1.gif, http://www.unsin.co.kr/images/star/a3.gif, http://www.unsin.co.kr/images/star/a5.gif, http://www.unsin.co.kr/images/star/a7.gif, http://www.unsin.co.kr/images/star/a9.gif, http://www.unsin.co.kr/images/star/a1.gif, http://www.unsin.co.kr/images/star/a3.gif, http://www.unsin.co.kr/images/star/a5.gif, http://www.unsin.co.kr/images/star/a7.gif, http://www.unsin.co.kr/images/star/a9.gif, http://www.unsin.co.kr/images/star/a1.gif, http://www.unsin.co.kr/images/star/a3.gif, http://www.unsin.co.kr/images/star/a5.gif, http://www.unsin.co.kr/images/star/a7.gif, http://www.unsin.co.kr/images/star/a9.gif, http://www.unsin.co.kr/images/star/a1.gif, http://www.unsin.co.kr/images/star/a3.gif, http://www.unsin.co.kr/images/star/a5.gif, http://www.unsin.co.kr/images/star/a7.gif, http://www.unsin.co.kr/images/star/a9.gif
img2, http://www.unsin.co.kr/images/star/a4.gif, http://www.unsin.co.kr/images/star/a5.gif, http://www.unsin.co.kr/images/star/a6.gif, http://www.unsin.co.kr/images/star/a7.gif, http://www.unsin.co.kr/images/star/a8.gif, http://www.unsin.co.kr/images/star/a9.gif, http://www.unsin.co.kr/images/star/a10.gif, http://www.unsin.co.kr/images/star/a1.gif, http://www.unsin.co.kr/images/star/a2.gif, http://www.unsin.co.kr/images/star/a3.gif, http://www.unsin.co.kr/images/star/a4.gif, http://www.unsin.co.kr/images/star/a5.gif, http://www.unsin.co.kr/images/star/a6.gif, http://www.unsin.co.kr/images/star/a7.gif, http://www.unsin.co.kr/images/star/a8.gif, http://www.unsin.co.kr/images/star/a9.gif, http://www.unsin.co.kr/images/star/a10.gif, http://www.unsin.co.kr/images/star/a1.gif, http://www.unsin.co.kr/images/star/a2.gif, http://www.unsin.co.kr/images/star/a3.gif, http://www.unsin.co.kr/images/star/a4.gif, http://www.unsin.co.kr/images/star/a5.gif, http://www.unsin.co.kr/images/star/a6.gif, http://www.unsin.co.kr/images/star/a7.gif, http://www.unsin.co.kr/images/star/a8.gif, http://www.unsin.co.kr/images/star/a9.gif, http://www.unsin.co.kr/images/star/a10.gif, http://www.unsin.co.kr/images/star/a1.gif, http://www.unsin.co.kr/images/star/a2.gif, http://www.unsin.co.kr/images/star/a3.gif, http://www.unsin.co.kr/images/star/a4.gif
img3, http://www.unsin.co.kr/images/star/a3.gif, http://www.unsin.co.kr/images/star/a3.gif, http://www.unsin.co.kr/images/star/a3.gif, http://www.unsin.co.kr/images/star/a3.gif, http://www.unsin.co.kr/images/star/a3.gif, http://www.unsin.co.kr/images/star/a4.gif, http://www.unsin.co.kr/images/star/a4.gif, http://www.unsin.co.kr/images/star/a4.gif, http://www.unsin.co.kr/images/star/a4.gif, http://www.unsin.co.kr/images/star/a4.gif, http://www.unsin.co.kr/images/star/a4.gif, http://www.unsin.co.kr/images/star/a4.gif, http://www.unsin.co.kr/images/star/a4.gif, http://www.unsin.co.kr/images/star/a4.gif, http://www.unsin.co.kr/images/star/a4.gif, http://www.unsin.co.kr/images/star/a4.gif, http://www.unsin.co.kr/images/star/a4.gif, http://www.unsin.co.kr/images/star/a4.gif, http://www.unsin.co.kr/images/star/a4.gif, http://www.unsin.co.kr/images/star/a4.gif, http://www.unsin.co.kr/images/star/a4.gif, http://www.unsin.co.kr/images/star/a4.gif, http://www.unsin.co.kr/images/star/a4.gif, http://www.unsin.co.kr/images/star/a4.gif, http://www.unsin.co.kr/images/star/a4.gif, http://www.unsin.co.kr/images/star/a4.gif, http://www.unsin.co.kr/images/star/a4.gif, http://www.unsin.co.kr/images/star/a4.gif, http://www.unsin.co.kr/images/star/a4.gif, http://www.unsin.co.kr/images/star/a4.gif, http://www.unsin.co.kr/images/star/a4.gif
img4, http://www.unsin.co.kr/images/star/a6.gif, http://www.unsin.co.kr/images/star/a6.gif, http://www.unsin.co.kr/images/star/a6.gif, http://www.unsin.co.kr/images/star/a6.gif, http://www.unsin.co.kr/images/star/a6.gif, http://www.unsin.co.kr/images/star/a6.gif, http://www.unsin.co.kr/images/star/a6.gif, http://www.unsin.co.kr/images/star/a6.gif, http://www.unsin.co.kr/images/star/a6.gif, http://www.unsin.co.kr/images/star/a6.gif, http://www.unsin.co.kr/images/star/a6.gif, http://www.unsin.co.kr/images/star/a6.gif, http://www.unsin.co.kr/images/star/a6.gif, http://www.unsin.co.kr/images/star/a6.gif, http://www.unsin.co.kr/images/star/a6.gif, http://www.unsin.co.kr/images/star/a6.gif, http://www.unsin.co.kr/images/star/a6.gif, http://www.unsin.co.kr/images/star/a6.gif, http://www.unsin.co.kr/images/star/a6.gif, http://www.unsin.co.kr/images/star/a6.gif, http://www.unsin.co.kr/images/star/a6.gif, http://www.unsin.co.kr/images/star/a6.gif, http://www.unsin.co.kr/images/star/a6.gif, http://www.unsin.co.kr/images/star/a6.gif, http://www.unsin.co.kr/images/star/a6.gif, http://www.unsin.co.kr/images/star/a6.gif, http://www.unsin.co.kr/images/star/a6.gif, http://www.unsin.co.kr/images/star/a6.gif, http://www.unsin.co.kr/images/star/a6.gif, http://www.unsin.co.kr/images/star/a6.gif, http://www.unsin.co.kr/images/star/a6.gif
img5, http://www.unsin.co.kr/images/star/b11.gif, http://www.unsin.co.kr/images/star/b11.gif, http://www.unsin.co.kr/images/star/b11.gif, http://www.unsin.co.kr/images/star/b11.gif, http://www.unsin.co.kr/images/star/b11.gif, http://www.unsin.co.kr/images/star/b11.gif, http://www.unsin.co.kr/images/star/b11.gif, http://www.unsin.co.kr/images/star/b11.gif, http://www.unsin.co.kr/images/star/b11.gif, http://www.unsin.co.kr/images/star/b11.gif, http://www.unsin.co.kr/images/star/b11.gif, http://www.unsin.co.kr/images/star/b11.gif, http://www.unsin.co.kr/images/star/b11.gif, http://www.unsin.co.kr/images/star/b11.gif, http://www.unsin.co.kr/images/star/b11.gif, http://www.unsin.co.kr/images/star/b11.gif, http://www.unsin.co.kr/images/star/b11.gif, http://www.unsin.co.kr/images/star/b11.gif, http://www.unsin.co.kr/images/star/b11.gif, http://www.unsin.co.kr/images/star/b11.gif, http://www.unsin.co.kr/images/star/b11.gif, http://www.unsin.co.kr/images/star/b11.gif, http://www.unsin.co.kr/images/star/b11.gif, http://www.unsin.co.kr/images/star/b11.gif, http://www.unsin.co.kr/images/star/b11.gif, http://www.unsin.co.kr/images/star/b11.gif, http://www.unsin.co.kr/images/star/b11.gif, http://www.unsin.co.kr/images/star/b11.gif, http://www.unsin.co.kr/images/star/b11.gif, http://www.unsin.co.kr/images/star/b11.gif, http://www.unsin.co.kr/images/star/b11.gif
img6, http://www.unsin.co.kr/images/star/b4.gif, http://www.unsin.co.kr/images/star/b5.gif, http://www.unsin.co.kr/images/star/b6.gif, http://www.unsin.co.kr/images/star/b7.gif, http://www.unsin.co.kr/images/star/b8.gif, http://www.unsin.co.kr/images/star/b9.gif, http://www.unsin.co.kr/images/star/b10.gif, http://www.unsin.co.kr/images/star/b11.gif, http://www.unsin.co.kr/images/star/b12.gif, http://www.unsin.co.kr/images/star/b1.gif, http://www.unsin.co.kr/images/star/b2.gif, http://www.unsin.co.kr/images/star/b3.gif, http://www.unsin.co.kr/images/star/b4.gif, http://www.unsin.co.kr/images/star/b5.gif, http://www.unsin.co.kr/images/star/b6.gif, http://www.unsin.co.kr/images/star/b7.gif, http://www.unsin.co.kr/images/star/b8.gif, http://www.unsin.co.kr/images/star/b9.gif, http://www.unsin.co.kr/images/star/b10.gif, http://www.unsin.co.kr/images/star/b11.gif, http://www.unsin.co.kr/images/star/b12.gif, http://www.unsin.co.kr/images/star/b1.gif, http://www.unsin.co.kr/images/star/b2.gif, http://www.unsin.co.kr/images/star/b3.gif, http://www.unsin.co.kr/images/star/b4.gif, http://www.unsin.co.kr/images/star/b5.gif, http://www.unsin.co.kr/images/star/b6.gif, http://www.unsin.co.kr/images/star/b7.gif, http://www.unsin.co.kr/images/star/b8.gif, http://www.unsin.co.kr/images/star/b9.gif, http://www.unsin.co.kr/images/star/b10.gif
